"Código INE" "Municipio" "ADN" "ADN%" "CONDEPA" "CONDEPA%" "LJ" "LJ%" "MAS" "MAS%" "MCC" "MCC%" "MIP" "MIP%" "MIR" "MIR%" "MNR" "MNR%" "NFR" "NFR%" "PS" "PS%" "UCS" "UCS%" "Válidos" "Blancos" "Nulos" "Emitidos"
"010101" "Sucre" "8151" "8,97" "403" "0,44" "2531" "2,79" "15275" "16,82" "632" "0,70" "533" "0,59" "12705" "13,99" "24124" "26,56" "19281" "21,23" "337" "0,37" "6848" "7,54" "90820" "3235" "2463" "96518"
"010102" "Yotala" "278" "10,35" "20" "0,74" "21" "0,78" "895" "33,31" "10" "0,37" "38" "1,41" "460" "17,12" "599" "22,29" "182" "6,77" "14" "0,52" "170" "6,33" "2687" "360" "116" "3163"
"010103" "Poroma" "237" "8,22" "28" "0,97" "26" "0,90" "1419" "49,20" "19" "0,66" "60" "2,08" "479" "16,61" "326" "11,30" "116" "4,02" "26" "0,90" "148" "5,13" "2884" "642" "242" "3768"
"010201" "Villa Azurduy" "394" "20,08" "15" "0,76" "13" "0,66" "250" "12,74" "13" "0,66" "86" "4,38" "526" "26,81" "378" "19,27" "182" "9,28" "16" "0,82" "89" "4,54" "1962" "340" "134" "2436"
"010202" "Tarvita (Villa Orías)" "304" "9,09" "30" "0,90" "34" "1,02" "1279" "38,26" "42" "1,26" "68" "2,03" "308" "9,21" "800" "23,93" "232" "6,94" "27" "0,81" "219" "6,55" "3343" "587" "246" "4176"
"010301" "Villa Zudañez (Tacopaya)" "634" "23,17" "19" "0,69" "13" "0,48" "638" "23,32" "10" "0,37" "19" "0,69" "401" "14,66" "362" "13,23" "243" "8,88" "22" "0,80" "375" "13,71" "2736" "445" "156" "3337"
"010302" "Presto" "121" "7,11" "5" "0,29" "34" "2,00" "578" "33,94" "11" "0,65" "20" "1,17" "307" "18,03" "405" "23,78" "166" "9,75" "8" "0,47" "48" "2,82" "1703" "238" "80" "2021"
"010303" "Mojocoya" "349" "16,46" "6" "0,28" "5" "0,24" "672" "31,70" "3" "0,14" "12" "0,57" "376" "17,74" "458" "21,60" "121" "5,71" "6" "0,28" "112" "5,28" "2120" "176" "68" "2364"
"010304" "Icla (Ricardo Mujia)" "177" "9,65" "12" "0,65" "26" "1,42" "617" "33,62" "19" "1,04" "17" "0,93" "227" "12,37" "534" "29,10" "88" "4,80" "11" "0,60" "107" "5,83" "1835" "273" "142" "2250"
"010401" "Padilla" "385" "12,31" "6" "0,19" "6" "0,19" "289" "9,24" "6" "0,19" "11" "0,35" "819" "26,18" "886" "28,32" "645" "20,62" "5" "0,16" "70" "2,24" "3128" "209" "129" "3466"
"010402" "Tomina" "273" "15,12" "12" "0,66" "9" "0,50" "354" "19,61" "12" "0,66" "17" "0,94" "369" "20,44" "593" "32,85" "76" "4,21" "9" "0,50" "81" "4,49" "1805" "237" "86" "2128"
"010403" "Sopachuy" "291" "17,51" "10" "0,60" "5" "0,30" "427" "25,69" "17" "1,02" "12" "0,72" "170" "10,23" "367" "22,08" "99" "5,96" "15" "0,90" "249" "14,98" "1662" "198" "128" "1988"
"010404" "Villa Alcalá" "68" "7,36" "0" "0,00" "2" "0,22" "124" "13,42" "4" "0,43" "5" "0,54" "470" "50,87" "118" "12,77" "79" "8,55" "6" "0,65" "48" "5,19" "924" "102" "38" "1064"
"010405" "El Villar" "75" "9,26" "3" "0,37" "11" "1,36" "110" "13,58" "4" "0,49" "5" "0,62" "192" "23,70" "313" "38,64" "23" "2,84" "1" "0,12" "73" "9,01" "810" "86" "81" "977"
"010501" "Monteagudo" "859" "12,49" "20" "0,29" "42" "0,61" "509" "7,40" "13" "0,19" "21" "0,31" "1954" "28,41" "2057" "29,90" "925" "13,45" "20" "0,29" "459" "6,67" "6879" "625" "238" "7742"
"010502" "San Pablo de Huacareta" "759" "37,21" "4" "0,20" "4" "0,20" "63" "3,09" "11" "0,54" "7" "0,34" "456" "22,35" "507" "24,85" "146" "7,16" "5" "0,25" "78" "3,82" "2040" "180" "39" "2259"
"010601" "Tarabuco" "302" "6,65" "27" "0,59" "46" "1,01" "1777" "39,12" "12" "0,26" "64" "1,41" "734" "16,16" "763" "16,80" "482" "10,61" "35" "0,77" "301" "6,63" "4543" "692" "255" "5490"
"010602" "Yamparez" "236" "13,61" "9" "0,52" "15" "0,87" "229" "13,21" "10" "0,58" "16" "0,92" "247" "14,24" "682" "39,33" "82" "4,73" "7" "0,40" "201" "11,59" "1734" "206" "80" "2020"
"010701" "Camargo" "664" "15,75" "13" "0,31" "39" "0,93" "246" "5,83" "11" "0,26" "25" "0,59" "767" "18,19" "1865" "44,24" "320" "7,59" "9" "0,21" "257" "6,10" "4216" "388" "123" "4727"
"010702" "San Lucas" "1688" "23,69" "44" "0,62" "53" "0,74" "787" "11,05" "50" "0,70" "72" "1,01" "980" "13,76" "2154" "30,24" "549" "7,71" "69" "0,97" "678" "9,52" "7124" "1474" "561" "9159"
"010703" "Incahuasi" "336" "9,59" "22" "0,63" "28" "0,80" "283" "8,08" "19" "0,54" "54" "1,54" "1045" "29,84" "933" "26,64" "182" "5,20" "32" "0,91" "568" "16,22" "3502" "829" "354" "4685"
"010801" "Villa Serrano" "427" "12,73" "7" "0,21" "27" "0,81" "431" "12,85" "24" "0,72" "21" "0,63" "837" "24,96" "1067" "31,82" "367" "10,95" "19" "0,57" "126" "3,76" "3353" "366" "118" "3837"
"010901" "Camataqui (Villa Abecia)" "149" "14,07" "6" "0,57" "4" "0,38" "73" "6,89" "3" "0,28" "7" "0,66" "308" "29,08" "339" "32,01" "68" "6,42" "4" "0,38" "98" "9,25" "1059" "98" "40" "1197"
"010902" "Culpina" "467" "11,49" "19" "0,47" "33" "0,81" "261" "6,42" "11" "0,27" "40" "0,98" "1333" "32,81" "1546" "38,05" "203" "5,00" "21" "0,52" "129" "3,17" "4063" "533" "217" "4813"
"010903" "Las Carreras (Las carretas)" "248" "24,01" "5" "0,48" "10" "0,97" "47" "4,55" "6" "0,58" "7" "0,68" "350" "33,88" "270" "26,14" "62" "6,00" "2" "0,19" "26" "2,52" "1033" "90" "42" "1165"
"011001" "Villa Vaca Guzmán (Muyupampa)" "379" "15,90" "6" "0,25" "9" "0,38" "138" "5,79" "8" "0,34" "6" "0,25" "828" "34,73" "478" "20,05" "288" "12,08" "6" "0,25" "238" "9,98" "2384" "203" "61" "2648"
"011002" "Villa de Huacaya" "148" "29,60" "0" "0,00" "0" "0,00" "4" "0,80" "1" "0,20" "1" "0,20" "143" "28,60" "193" "38,60" "3" "0,60" "0" "0,00" "7" "1,40" "500" "23" "17" "540"
"011003" "Macharetí" "441" "23,58" "1" "0,05" "4" "0,21" "48" "2,57" "2" "0,11" "2" "0,11" "316" "16,90" "617" "32,99" "256" "13,69" "3" "0,16" "180" "9,63" "1870" "131" "38" "2039"
"020101" "Nuestra Señora de La Paz" "12927" "3,44" "1489" "0,40" "23601" "6,28" "60523" "16,11" "4585" "1,22" "25501" "6,79" "40463" "10,77" "87678" "23,34" "106884" "28,45" "4514" "1,20" "7491" "1,99" "375656" "5544" "10165" "391365"
"020102" "Palca" "57" "1,71" "51" "1,53" "67" "2,01" "623" "18,65" "10" "0,30" "1781" "53,31" "219" "6,55" "216" "6,47" "223" "6,67" "23" "0,69" "71" "2,13" "3341" "293" "175" "3809"
"020103" "Mecapaca" "80" "2,00" "28" "0,70" "92" "2,30" "905" "22,67" "17" "0,43" "1506" "37,73" "371" "9,29" "321" "8,04" "580" "14,53" "26" "0,65" "66" "1,65" "3992" "169" "174" "4335"
"020104" "Achocalla" "62" "1,33" "17" "0,37" "98" "2,11" "1647" "35,42" "18" "0,39" "1327" "28,54" "401" "8,62" "357" "7,68" "619" "13,31" "7" "0,15" "97" "2,09" "4650" "339" "180" "5169"
"020105" "El Alto" "2196" "0,87" "1621" "0,64" "17220" "6,80" "70517" "27,85" "1483" "0,59" "45296" "17,89" "31934" "12,61" "21868" "8,64" "53827" "21,26" "1821" "0,72" "5397" "2,13" "253180" "5893" "7020" "266093"
"020201" "Achacachi" "137" "0,65" "110" "0,52" "243" "1,15" "3779" "17,95" "68" "0,32" "12070" "57,34" "1622" "7,71" "1056" "5,02" "1318" "6,26" "158" "0,75" "490" "2,33" "21051" "1887" "1059" "23997"
"020202" "Ancoraimes" "16" "0,37" "10" "0,23" "58" "1,33" "612" "14,00" "12" "0,27" "3075" "70,35" "256" "5,86" "188" "4,30" "83" "1,90" "18" "0,41" "43" "0,98" "4371" "251" "161" "4783"
"020301" "Coro Coro" "52" "1,65" "22" "0,70" "102" "3,23" "635" "20,11" "21" "0,67" "1247" "39,50" "358" "11,34" "346" "10,96" "246" "7,79" "16" "0,51" "112" "3,55" "3157" "287" "141" "3585"
"020302" "Caquiaviri" "32" "0,91" "12" "0,34" "74" "2,11" "481" "13,68" "12" "0,34" "1989" "56,59" "358" "10,18" "378" "10,75" "115" "3,27" "25" "0,71" "39" "1,11" "3515" "226" "119" "3860"
"020303" "Calacoto" "24" "0,91" "13" "0,49" "70" "2,65" "613" "23,20" "23" "0,87" "925" "35,01" "278" "10,52" "441" "16,69" "207" "7,83" "10" "0,38" "38" "1,44" "2642" "190" "83" "2915"
"020304" "Comanche" "6" "0,48" "12" "0,96" "22" "1,75" "175" "13,93" "9" "0,72" "662" "52,71" "137" "10,91" "119" "9,47" "68" "5,41" "12" "0,96" "34" "2,71" "1256" "80" "38" "1374"
"020305" "Charaña" "25" "2,95" "3" "0,35" "77" "9,08" "251" "29,60" "6" "0,71" "225" "26,53" "89" "10,50" "76" "8,96" "74" "8,73" "1" "0,12" "21" "2,48" "848" "55" "22" "925"
"020306" "Waldo Ballivián" "8" "1,37" "0" "0,00" "10" "1,71" "103" "17,58" "5" "0,85" "358" "61,09" "22" "3,75" "27" "4,61" "30" "5,12" "1" "0,17" "22" "3,75" "586" "21" "21" "628"
"020307" "Nazacara de Pacajes" "5" "1,87" "1" "0,37" "7" "2,62" "29" "10,86" "1" "0,37" "161" "60,30" "21" "7,87" "19" "7,12" "13" "4,87" "7" "2,62" "3" "1,12" "267" "18" "11" "296"
"020308" "Santiago de Callapa" "27" "1,60" "17" "1,01" "21" "1,25" "364" "21,63" "9" "0,53" "653" "38,80" "253" "15,03" "157" "9,33" "125" "7,43" "12" "0,71" "45" "2,67" "1683" "290" "83" "2056"
"020401" "Puerto Acosta" "190" "2,66" "38" "0,53" "66" "0,92" "1694" "23,70" "43" "0,60" "3831" "53,60" "239" "3,34" "489" "6,84" "322" "4,51" "52" "0,73" "183" "2,56" "7147" "897" "416" "8460"
"020402" "Mocomoco" "325" "8,40" "20" "0,52" "65" "1,68" "865" "22,36" "28" "0,72" "1443" "37,30" "450" "11,63" "287" "7,42" "238" "6,15" "41" "1,06" "107" "2,77" "3869" "611" "311" "4791"
"020403" "Puerto Carabuco" "55" "1,65" "21" "0,63" "28" "0,84" "681" "20,45" "36" "1,08" "1631" "48,98" "392" "11,77" "205" "6,16" "176" "5,29" "24" "0,72" "81" "2,43" "3330" "465" "271" "4066"
"020501" "Chuma" "35" "1,50" "17" "0,73" "31" "1,33" "223" "9,55" "9" "0,39" "1284" "55,01" "196" "8,40" "292" "12,51" "141" "6,04" "23" "0,99" "83" "3,56" "2334" "438" "135" "2907"
"020502" "Ayata" "15" "1,30" "6" "0,52" "16" "1,38" "133" "11,51" "10" "0,87" "615" "53,20" "173" "14,97" "103" "8,91" "56" "4,84" "9" "0,78" "20" "1,73" "1156" "242" "116" "1514"
"020503" "Aucapata" "12" "1,56" "2" "0,26" "10" "1,30" "149" "19,33" "6" "0,78" "244" "31,65" "186" "24,12" "113" "14,66" "30" "3,89" "4" "0,52" "15" "1,95" "771" "66" "44" "881"
"020601" "Sorata" "81" "1,72" "80" "1,70" "149" "3,17" "1535" "32,63" "32" "0,68" "1114" "23,68" "461" "9,80" "492" "10,46" "639" "13,58" "28" "0,60" "93" "1,98" "4704" "533" "265" "5502"
"020602" "Guanay" "260" "4,35" "22" "0,37" "168" "2,81" "1359" "22,73" "16" "0,27" "292" "4,88" "1257" "21,03" "1588" "26,56" "903" "15,11" "16" "0,27" "97" "1,62" "5978" "399" "166" "6543"
"020603" "Tacacoma" "19" "1,28" "15" "1,01" "42" "2,84" "732" "49,43" "6" "0,41" "209" "14,11" "140" "9,45" "150" "10,13" "121" "8,17" "13" "0,88" "34" "2,30" "1481" "152" "68" "1701"
"020604" "Quiabaya" "7" "1,42" "2" "0,41" "12" "2,44" "173" "35,16" "3" "0,61" "192" "39,02" "6" "1,22" "67" "13,62" "24" "4,88" "3" "0,61" "3" "0,61" "492" "107" "37" "636"
"020605" "Combaya" "24" "4,19" "5" "0,87" "20" "3,49" "104" "18,15" "15" "2,62" "230" "40,14" "24" "4,19" "69" "12,04" "61" "10,65" "6" "1,05" "15" "2,62" "573" "106" "55" "734"
"020606" "Tipuani" "147" "7,01" "24" "1,14" "52" "2,48" "291" "13,87" "4" "0,19" "75" "3,57" "634" "30,22" "455" "21,69" "357" "17,02" "3" "0,14" "56" "2,67" "2098" "96" "43" "2237"
"020701" "Apolo" "72" "2,98" "18" "0,75" "64" "2,65" "834" "34,53" "4" "0,17" "226" "9,36" "208" "8,61" "509" "21,08" "421" "17,43" "8" "0,33" "51" "2,11" "2415" "323" "138" "2876"
"020702" "Pelechuco" "21" "1,98" "11" "1,04" "26" "2,45" "248" "23,37" "7" "0,66" "374" "35,25" "89" "8,39" "172" "16,21" "79" "7,45" "12" "1,13" "22" "2,07" "1061" "161" "81" "1303"
"020801" "Viacha" "352" "1,49" "124" "0,53" "980" "4,15" "3974" "16,83" "105" "0,44" "9356" "39,62" "2454" "10,39" "1571" "6,65" "3578" "15,15" "170" "0,72" "949" "4,02" "23613" "1360" "814" "25787"
"020802" "Guaqui" "42" "2,09" "9" "0,45" "58" "2,88" "503" "24,98" "6" "0,30" "809" "40,17" "87" "4,32" "116" "5,76" "287" "14,25" "14" "0,70" "83" "4,12" "2014" "268" "101" "2383"
"020803" "Tiahuanacu" "31" "0,68" "36" "0,79" "80" "1,76" "753" "16,57" "18" "0,40" "2735" "60,18" "245" "5,39" "306" "6,73" "175" "3,85" "37" "0,81" "129" "2,84" "4545" "402" "251" "5198"
"020804" "Desaguadero" "130" "7,13" "8" "0,44" "58" "3,18" "246" "13,49" "11" "0,60" "505" "27,70" "87" "4,77" "257" "14,10" "454" "24,90" "8" "0,44" "59" "3,24" "1823" "193" "61" "2077"
"020901" "Luribay" "25" "0,81" "7" "0,23" "42" "1,36" "1020" "33,10" "8" "0,26" "904" "29,33" "401" "13,01" "267" "8,66" "302" "9,80" "23" "0,75" "83" "2,69" "3082" "300" "139" "3521"
"020902" "Sapahaqui" "26" "0,79" "23" "0,70" "68" "2,06" "792" "23,96" "15" "0,45" "1535" "46,43" "224" "6,78" "310" "9,38" "190" "5,75" "59" "1,78" "64" "1,94" "3306" "346" "120" "3772"
"020903" "Yaco" "23" "0,96" "15" "0,63" "35" "1,46" "453" "18,95" "7" "0,29" "1098" "45,92" "247" "10,33" "260" "10,87" "189" "7,90" "20" "0,84" "44" "1,84" "2391" "274" "81" "2746"
