"Código INE" "Municipio" "A3-MNR" "A3-MNR%" "AAI" "AAI%" "ADN" "ADN%" "ALBA" "ALBA%" "APB" "APB%" "AS" "AS%" "ASI" "ASI%" "ASP" "ASP%" "AYRA" "AYRA%" "CDC" "CDC%" "CN" "CN%" "MACA" "MACA%" "MAR" "MAR%" "MAS" "MAS%" "MBL" "MBL%" "MCSFA" "MCSFA%" "MIBOL" "MIBOL%" "MIR-NM" "MIR-NM%" "MNR" "MNR%" "MNR-FRI" "MNR-FRI%" "MOP" "MOP%" "PODEMOS" "PODEMOS%" "TRADEPA" "TRADEPA%" "UCS" "UCS%" "UN" "UN%" "Válidos" "Blancos" "Nulos" "Emitidos" "Abstención" "Inscritos Habilitados"
"010101" "Sucre" "0" "0,00" "0" "0,00" "1190" "1,45" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "5356" "6,53" "0" "0,00" "0" "0,00" "38809" "47,34" "8035" "9,80" "0" "0,00" "0" "0,00" "3789" "4,62" "2330" "2,84" "0" "0,00" "0" "0,00" "15526" "18,94" "0" "0,00" "1151" "1,40" "5786" "7,06" "81972" "11311" "4302" "97585" "18567" "116152"
"010102" "Yotala" "0" "0,00" "0" "0,00" "19" "0,92" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "96" "4,67" "0" "0,00" "0" "0,00" "1445" "70,25" "115" "5,59" "0" "0,00" "0" "0,00" "102" "4,96" "70" "3,40" "0" "0,00" "0" "0,00" "141" "6,85" "0" "0,00" "28" "1,36" "41" "1,99" "2057" "789" "96" "2942" "521" "3463"
"010103" "Poroma" "0" "0,00" "0" "0,00" "41" "1,47" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "115" "4,12" "0" "0,00" "0" "0,00" "2301" "82,44" "52" "1,86" "0" "0,00" "0" "0,00" "53" "1,90" "64" "2,29" "0" "0,00" "0" "0,00" "82" "2,94" "0" "0,00" "47" "1,68" "36" "1,29" "2791" "974" "242" "4007" "733" "4740"
"010201" "Villa Azurduy" "0" "0,00" "0" "0,00" "74" "5,19" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "56" "3,92" "0" "0,00" "0" "0,00" "958" "67,13" "88" "6,17" "0" "0,00" "0" "0,00" "44" "3,08" "42" "2,94" "0" "0,00" "0" "0,00" "91" "6,38" "0" "0,00" "27" "1,89" "47" "3,29" "1427" "609" "120" "2156" "556" "2712"
"010202" "Tarvita (Villa Orías)" "0" "0,00" "0" "0,00" "61" "2,24" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "140" "5,15" "0" "0,00" "0" "0,00" "1913" "70,36" "292" "10,74" "0" "0,00" "0" "0,00" "93" "3,42" "80" "2,94" "0" "0,00" "0" "0,00" "55" "2,02" "0" "0,00" "48" "1,77" "37" "1,36" "2719" "912" "167" "3798" "704" "4502"
"010301" "Villa Zudañez (Tacopaya)" "0" "0,00" "0" "0,00" "14" "1,15" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "63" "5,16" "0" "0,00" "0" "0,00" "885" "72,48" "63" "5,16" "0" "0,00" "0" "0,00" "51" "4,18" "27" "2,21" "0" "0,00" "0" "0,00" "84" "6,88" "0" "0,00" "15" "1,23" "19" "1,56" "1221" "499" "64" "1784" "459" "2243"
"010302" "Presto" "0" "0,00" "0" "0,00" "11" "0,86" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "58" "4,53" "0" "0,00" "0" "0,00" "954" "74,59" "61" "4,77" "0" "0,00" "0" "0,00" "39" "3,05" "33" "2,58" "0" "0,00" "0" "0,00" "77" "6,02" "0" "0,00" "19" "1,49" "27" "2,11" "1279" "407" "111" "1797" "459" "2256"
"010303" "Villa Mojocoya" "0" "0,00" "0" "0,00" "35" "2,18" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "50" "3,11" "0" "0,00" "0" "0,00" "1219" "75,76" "88" "5,47" "0" "0,00" "0" "0,00" "35" "2,18" "25" "1,55" "0" "0,00" "0" "0,00" "125" "7,77" "0" "0,00" "20" "1,24" "12" "0,75" "1609" "462" "73" "2144" "342" "2486"
"010304" "Icla (Ricardo Mujia)" "0" "0,00" "0" "0,00" "22" "1,27" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "119" "6,86" "0" "0,00" "0" "0,00" "1368" "78,89" "34" "1,96" "0" "0,00" "0" "0,00" "33" "1,90" "29" "1,67" "0" "0,00" "0" "0,00" "61" "3,52" "0" "0,00" "31" "1,79" "37" "2,13" "1734" "547" "80" "2361" "381" "2742"
"010401" "Padilla" "0" "0,00" "0" "0,00" "64" "3,40" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "0" "0,00" "177" "9,40" "0" "0,00" "0" "0,00" "1051" "55,82" "118" "6,27" "0" "0,00" "0" "0,00" "135" "7,17" "75" "3,98" "0" "0,00" "0" "0,00" "98" "5,20" "0" "0,00" "29" "1,54" "136" "7,22" "1883" "659" "101" "2643" "783" "3426"
