"Código INE" "Municipio" "NO" "NO%" "SÍ" "SÍ%" "Válidos" "Blancos" "Nulos" "Emitidos"
"010101" "Sucre" "71035" "69,85" "30658" "30,15" "101693" "1561" "2425" "105679"
"010102" "Yotala" "812" "28,96" "1992" "71,04" "2804" "79" "84" "2967"
"010103" "Poroma" "153" "3,62" "4076" "96,38" "4229" "104" "116" "4449"
"010201" "Villa Azurduy" "559" "24,35" "1737" "75,65" "2296" "85" "75" "2456"
"010202" "Tarvita (Villa Orías)" "476" "12,40" "3363" "87,60" "3839" "125" "105" "4069"
"010301" "Villa Zudañez (Tacopaya)" "318" "15,87" "1686" "84,13" "2004" "46" "123" "2173"
"010302" "Presto" "171" "8,40" "1865" "91,60" "2036" "68" "65" "2169"
"010303" "Mojocoya" "260" "10,86" "2135" "89,14" "2395" "62" "50" "2507"
"010304" "Icla (Ricardo Mujia)" "161" "6,43" "2342" "93,57" "2503" "39" "40" "2582"
"010401" "Padilla" "865" "32,88" "1766" "67,12" "2631" "104" "151" "2886"
"010402" "Tomina" "250" "10,75" "2075" "89,25" "2325" "80" "73" "2478"
"010403" "Sopachuy" "259" "12,45" "1822" "87,55" "2081" "45" "92" "2218"
"010404" "Villa Alcalá" "240" "35,40" "438" "64,60" "678" "33" "71" "782"
"010405" "El Villar" "199" "17,46" "941" "82,54" "1140" "44" "47" "1231"
"010501" "Monteagudo" "2137" "35,46" "3889" "64,54" "6026" "231" "447" "6704"
"010502" "San Pablo de Huacareta" "804" "46,10" "940" "53,90" "1744" "91" "67" "1902"
"010601" "Tarabuco" "521" "8,28" "5770" "91,72" "6291" "182" "162" "6635"
"010602" "Yamparez" "368" "13,06" "2450" "86,94" "2818" "131" "120" "3069"
"010701" "Camargo" "1607" "40,58" "2353" "59,42" "3960" "129" "116" "4205"
"010702" "San Lucas" "604" "7,49" "7460" "92,51" "8064" "233" "226" "8523"
"010703" "Incahuasi" "586" "15,77" "3129" "84,23" "3715" "242" "181" "4138"
"010801" "Villa Serrano" "903" "26,17" "2548" "73,83" "3451" "97" "155" "3703"
"010901" "Camataqui (Villa Abecia)" "248" "29,14" "603" "70,86" "851" "40" "85" "976"
"010902" "Culpina" "1104" "28,87" "2720" "71,13" "3824" "191" "147" "4162"
"010903" "Las Carreras (Las carretas)" "191" "20,25" "752" "79,75" "943" "28" "29" "1000"
"011001" "Villa Vaca Guzmán (Muyupampa)" "845" "36,41" "1476" "63,59" "2321" "86" "79" "2486"
