"Código INE" "Municipio" "10000H" "10000H%" "5000H" "5000H%" "Válidos" "Blancos" "Nulos" "Emitidos"
"010101" "Sucre" "15799" "30,69" "35683" "69,31" "51482" "45115" "9076" "105673"
"010102" "Yotala" "299" "15,34" "1650" "84,66" "1949" "951" "67" "2967"
"010103" "Poroma" "148" "3,76" "3792" "96,24" "3940" "442" "64" "4446"
"010201" "Villa Azurduy" "223" "13,44" "1436" "86,56" "1659" "754" "42" "2455"
"010202" "Tarvita (Villa Orías)" "225" "7,08" "2952" "92,92" "3177" "777" "115" "4069"
"010301" "Villa Zudañez (Tacopaya)" "155" "9,38" "1498" "90,62" "1653" "420" "100" "2173"
"010302" "Presto" "144" "7,92" "1674" "92,08" "1818" "310" "43" "2171"
"010303" "Mojocoya" "127" "5,92" "2019" "94,08" "2146" "330" "31" "2507"
"010304" "Icla (Ricardo Mujia)" "114" "5,08" "2131" "94,92" "2245" "314" "23" "2582"
"010401" "Padilla" "286" "17,65" "1334" "82,35" "1620" "1123" "142" "2885"
"010402" "Tomina" "167" "9,17" "1655" "90,83" "1822" "610" "46" "2478"
"010403" "Sopachuy" "92" "5,15" "1693" "94,85" "1785" "365" "68" "2218"
"010404" "Villa Alcalá" "69" "23,31" "227" "76,69" "296" "456" "30" "782"
"010405" "El Villar" "75" "8,96" "762" "91,04" "837" "373" "21" "1231"
"010501" "Monteagudo" "892" "22,03" "3157" "77,97" "4049" "2317" "338" "6704"
"010502" "San Pablo de Huacareta" "299" "28,13" "764" "71,87" "1063" "782" "57" "1902"
"010601" "Tarabuco" "349" "6,34" "5152" "93,66" "5501" "1024" "109" "6634"
"010602" "Yamparez" "192" "9,19" "1898" "90,81" "2090" "927" "57" "3074"
"010701" "Camargo" "474" "19,86" "1913" "80,14" "2387" "1675" "143" "4205"
"010702" "San Lucas" "400" "5,69" "6628" "94,31" "7028" "1363" "134" "8525"
"010703" "Incahuasi" "276" "10,65" "2315" "89,35" "2591" "1464" "81" "4136"
"010801" "Villa Serrano" "353" "13,85" "2196" "86,15" "2549" "1058" "102" "3709"
"010901" "Camataqui (Villa Abecia)" "99" "19,60" "406" "80,40" "505" "426" "46" "977"
"010902" "Culpina" "403" "17,27" "1930" "82,73" "2333" "1625" "103" "4061"
"010903" "Las Carreras (Las carretas)" "107" "17,34" "510" "82,66" "617" "363" "19" "999"
"011001" "Villa Vaca Guzmán (Muyupampa)" "290" "19,49" "1198" "80,51" "1488" "944" "54" "2486"
"011002" "Villa de Huacaya" "56" "22,22" "196" "77,78" "252" "195" "5" "452"
"011003" "Macharetí" "270" "28,60" "674" "71,40" "944" "676" "64" "1684"
"020101" "Nuestra Señora de La Paz" "68002" "19,91" "273602" "80,09" "341604" "73401" "36761" "451766"
"020102" "Palca" "285" "6,58" "4045" "93,42" "4330" "764" "94" "5188"
"020103" "Mecapaca" "434" "8,98" "4397" "91,02" "4831" "788" "100" "5719"
"020104" "Achocalla" "591" "11,80" "4416" "88,20" "5007" "1323" "169" "6499"
"020105" "El Alto" "39613" "12,24" "284014" "87,76" "323627" "50021" "11046" "384694"
"020201" "Achacachi" "991" "4,87" "19374" "95,13" "20365" "2332" "393" "23090"
"020202" "Ancoraimes" "73" "1,37" "5267" "98,63" "5340" "91" "32" "5463"
"020204" "Huarina" "109" "3,71" "2831" "96,29" "2940" "357" "38" "3335"
"020205" "Santiago de Huata" "0" "0" "0" "0" "0" "0" "0" "0"
"020301" "Coro Coro" "247" "7,94" "2863" "92,06" "3110" "503" "90" "3703"
"020302" "Caquiaviri" "196" "5,79" "3189" "94,21" "3385" "482" "94" "3961"
"020303" "Calacoto" "100" "3,56" "2706" "96,44" "2806" "225" "40" "3071"
"020304" "Comanche" "98" "9,11" "978" "90,89" "1076" "246" "45" "1367"
"020305" "Charaña" "98" "11,11" "784" "88,89" "882" "169" "23" "1074"
"020306" "Waldo Ballivián" "36" "5,88" "576" "94,12" "612" "55" "13" "680"
"020307" "Nazacara de Pacajes" "12" "6,28" "179" "93,72" "191" "23" "2" "216"
"020308" "Santiago de Callapa" "112" "6,12" "1717" "93,88" "1829" "340" "25" "2194"
"020401" "Puerto Acosta" "323" "3,84" "8078" "96,16" "8401" "650" "138" "9189"
"020402" "Mocomoco" "188" "4,06" "4442" "95,94" "4630" "498" "79" "5207"
"020403" "Puerto Carabuco" "207" "5,31" "3690" "94,69" "3897" "664" "93" "4654"
"020405" "Escoma" "0" "0" "0" "0" "0" "0" "0" "0"
"020501" "Chuma" "71" "2,15" "3232" "97,85" "3303" "248" "56" "3607"
"020502" "Ayata" "62" "3,02" "1993" "96,98" "2055" "269" "21" "2345"
"020503" "Aucapata" "49" "4,84" "963" "95,16" "1012" "194" "11" "1217"
"020601" "Sorata" "391" "7,59" "4758" "92,41" "5149" "963" "164" "6276"
"020602" "Guanay" "479" "19,57" "1969" "80,43" "2448" "854" "66" "3368"
"020603" "Tacacoma" "157" "10,29" "1369" "89,71" "1526" "361" "43" "1930"
"020604" "Quiabaya" "29" "4,93" "559" "95,07" "588" "121" "24" "733"
"020605" "Combaya" "39" "5,53" "666" "94,47" "705" "138" "12" "855"
"020606" "Tipuani" "400" "22,68" "1364" "77,32" "1764" "591" "95" "2450"
"020607" "Mapiri" "354" "21,78" "1271" "78,22" "1625" "911" "88" "2624"
"020608" "Teoponte" "229" "15,05" "1293" "84,95" "1522" "546" "45" "2113"
"020701" "Apolo" "479" "17,52" "2255" "82,48" "2734" "1044" "153" "3931"
"020702" "Pelechuco" "155" "9,90" "1411" "90,10" "1566" "313" "41" "1920"
"020801" "Viacha" "2155" "11,21" "17067" "88,79" "19222" "3797" "660" "23679"
"020802" "Guaqui" "169" "8,00" "1944" "92,00" "2113" "471" "68" "2652"
"020803" "Tiahuanacu" "277" "8,37" "3031" "91,63" "3308" "851" "96" "4255"
"020804" "Desaguadero" "238" "16,25" "1227" "83,75" "1465" "681" "56" "2202"
"020805" "San Andrés de Machaca" "113" "6,03" "1761" "93,97" "1874" "277" "36" "2187"
"020806" "Jesús de Machaca" "302" "6,81" "4131" "93,19" "4433" "607" "108" "5148"
"020807" "Taraco" "40" "2,43" "1606" "97,57" "1646" "158" "36" "1840"
"020901" "Luribay" "148" "3,71" "3846" "96,29" "3994" "386" "55" "4435"
"020902" "Sapahaqui" "273" "6,68" "3813" "93,32" "4086" "551" "105" "4742"
"020903" "Yaco" "167" "7,24" "2139" "92,76" "2306" "344" "42" "2692"
"020904" "Malla" "12" "1,36" "873" "98,64" "885" "27" "5" "917"
"020905" "Cairoma" "291" "9,45" "2789" "90,55" "3080" "602" "81" "3763"
"021001" "Inquisivi" "163" "3,96" "3955" "96,04" "4118" "404" "65" "4587"
"021002" "Quime" "235" "12,23" "1686" "87,77" "1921" "470" "73" "2464"
"021003" "Cajuata" "262" "10,01" "2356" "89,99" "2618" "681" "61" "3360"
"021004" "Colquiri" "487" "9,91" "4428" "90,09" "4915" "1150" "173" "6238"
"021005" "Ichoca" "123" "7,16" "1595" "92,84" "1718" "226" "35" "1979"
"021006" "Licoma Pampa" "68" "12,27" "486" "87,73" "554" "143" "15" "712"
"021101" "Chulumani (Villa de la Libertad)" "542" "9,25" "5320" "90,75" "5862" "1027" "169" "7058"
"021102" "Irupana (Villa de Lanza)" "432" "9,03" "4352" "90,97" "4784" "817" "120" "5721"
"021103" "Yanacachi" "148" "10,52" "1259" "89,48" "1407" "324" "41" "1772"
"021104" "Palos Blancos" "753" "13,40" "4868" "86,60" "5621" "1289" "146" "7056"
"021105" "La Asunta" "928" "9,94" "8406" "90,06" "9334" "1796" "318" "11448"
"021201" "Pucarani" "615" "7,59" "7483" "92,41" "8098" "1861" "312" "10271"
"021202" "Laja" "366" "7,88" "4278" "92,12" "4644" "1170" "179" "5993"
"021203" "Batallas" "345" "5,59" "5824" "94,41" "6169" "974" "120" "7263"
"021204" "Puerto Pérez" "156" "6,62" "2202" "93,38" "2358" "497" "61" "2916"
"021301" "Sica Sica (Villa Aroma)" "434" "6,27" "6484" "93,73" "6918" "1077" "148" "8143"
"021302" "Umala" "127" "5,65" "2121" "94,35" "2248" "360" "63" "2671"
"021303" "Ayo Ayo" "134" "5,86" "2153" "94,14" "2287" "324" "46" "2657"
"021304" "Calamarca" "280" "7,24" "3586" "92,76" "3866" "692" "125" "4683"
"021305" "Patacamaya" "605" "9,33" "5882" "90,67" "6487" "1153" "144" "7784"
"021306" "Colquencha" "259" "10,25" "2268" "89,75" "2527" "436" "90" "3053"
"021307" "Collana" "92" "12,07" "670" "87,93" "762" "223" "43" "1028"
"021401" "Coroico" "609" "12,18" "4393" "87,82" "5002" "1054" "160" "6216"
"021402" "Coripata" "603" "10,38" "5204" "89,62" "5807" "1289" "200" "7296"
"021501" "Ixiamas" "270" "27,61" "708" "72,39" "978" "464" "59" "1501"
"021502" "San Buenaventura" "237" "20,56" "916" "79,44" "1153" "737" "58" "1948"
"021601" "General Juan José Pérez (Charazani)" "109" "3,75" "2800" "96,25" "2909" "312" "52" "3273"
"021602" "Curva" "11" "1,78" "607" "98,22" "618" "31" "13" "662"
"021701" "Copacabana" "380" "7,96" "4392" "92,04" "4772" "957" "113" "5842"
"021702" "San Pedro de Tiquina" "204" "12,39" "1443" "87,61" "1647" "429" "47" "2123"
"021703" "Tito Yupanqui" "38" "7,41" "475" "92,59" "513" "105" "17" "635"
"021801" "San Pedro de Curahuara" "77" "3,20" "2329" "96,80" "2406" "143" "46" "2595"
"021802" "Papel Pampa" "118" "4,50" "2504" "95,50" "2622" "205" "30" "2857"
"021803" "Chacarilla" "26" "6,95" "348" "93,05" "374" "86" "15" "475"
"021901" "Santiago de Machaca" "78" "5,69" "1293" "94,31" "1371" "178" "20" "1569"
"021902" "Catacora" "18" "4,32" "399" "95,68" "417" "26" "4" "447"
"022001" "Caranavi" "1638" "9,02" "16514" "90,98" "18152" "2502" "473" "21127"
"030101" "Cochabamba" "2988" "24,05" "9437" "75,95" "12425" "4284" "1366" "18075"
"030201" "Aiquile" "732" "11,41" "5683" "88,59" "6415" "1575" "234" "8224"
"030202" "Pasorapa" "162" "35,37" "296" "64,63" "458" "420" "47" "925"
"030203" "Omereque" "121" "9,49" "1154" "90,51" "1275" "249" "34" "1558"
"030301" "Ayopaya (Villa de Independencia)" "100" "3,29" "2940" "96,71" "3040" "182" "56" "3278"
"030302" "Morochata" "355" "3,85" "8877" "96,15" "9232" "763" "177" "10172"
"030303" "Cocapata" "45005" "26,46" "125087" "73,54" "170092" "63575" "27451" "261118"
"030401" "Tarata" "270" "8,91" "2761" "91,09" "3031" "537" "109" "3677"
"030402" "Anzaldo" "139" "8,02" "1595" "91,98" "1734" "492" "96" "2322"
"030403" "Arbieto" "247" "11,90" "1828" "88,10" "2075" "720" "128" "2923"
"030404" "Sacabamba" "74" "5,02" "1400" "94,98" "1474" "146" "23" "1643"
"030501" "Arani" "419" "13,63" "2656" "86,37" "3075" "928" "161" "4164"
"030502" "Vacas" "202" "5,51" "3462" "94,49" "3664" "391" "79" "4134"
"030601" "Arque" "110" "3,36" "3167" "96,64" "3277" "170" "65" "3512"
"030602" "Tacopaya" "119" "2,91" "3976" "97,09" "4095" "192" "68" "4355"
"030701" "Capinota" "445" "7,10" "5825" "92,90" "6270" "540" "139" "6949"
"030702" "Santivañez" "217" "11,49" "1671" "88,51" "1888" "434" "68" "2390"
"030703" "Sicaya" "67" "8,05" "765" "91,95" "832" "99" "34" "965"
